Video name,Video post date,Creator username,Shoppable video comments,Shoppable video likes,Affiliate orders,Affiliate items sold,Shoppable video avg. order value,GMV,Affiliate shoppable video GMV,Est. commission,Est. flat fee,Avg. affiliate customers,Affiliate items refunded,Affiliate refunded GMV,Shoppable video impressions,Affiliate CTR,Shoppable video GPM,_source_file,_sheet
Loving this stuff recently‼️ #creatorsearchinsights #healthmusthaves #NewArivalsSurge ,2025-09-12,j.izzyj,0,14,2,2,32.45,64.9,64.9,13.7,--,0.04,0,0.0,6822,0.54%,8.96,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
This stuff has been hitting recently👀 #creatorsearchinsights #healthmusthaves ,2025-09-11,j.izzyj,2,14,2,2,26.74,53.48,53.48,12.39,--,0.07,0,0.0,3184,1.16%,15.12,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
I’ve been loving this stuff lately before my cardio sessions‼️ #oxyshred #preworkout #ehplabs ,2025-09-16,j.izzyj,0,22,1,1,28.87,28.87,28.87,6.79,--,0.04,0,0.0,4547,1.11%,5.96,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Go check it out! Been loving this stuff lately #creatorsearchinsights #healthmusthaves ,2025-09-11,j.izzyj,3,31,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,4643,1.10%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Loving this stuff on the cut‼️#creatorsearchinsights #healthmusthaves #NewArivalsSurge ,2025-09-13,j.izzyj,0,46,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,8955,2.26%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Loving this stuff‼️ #creatorsearchinsights #healthmusthaves #NewArivalsSurge ,2025-09-14,j.izzyj,1,14,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,2360,0.47%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Love using this stuff on cardio/ab days‼️#oxyshred #preworkout #ehplabs ,2025-09-17,j.izzyj,0,22,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,848,0.78%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Go grab some to make the most of your sessions‼️#oxyshred #preworkout #ehplabs ,2025-09-18,j.izzyj,0,26,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,1194,3.12%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
"Add it to your routine, you won’t regret it. #oxyshred #preworkout #ehplabs ",2025-09-19,j.izzyj,1,19,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,1883,0.25%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Go grab some while the sale is still on‼️ #oxyshred #preworkout #ehplabs ,2025-09-20,j.izzyj,1,26,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,5461,0.28%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
My favorite pre workout before my cardio sessions😮‍💨 #oxyshred #preworkout #ehplabs ,2025-09-21,j.izzyj,0,13,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,5501,0.27%,0.0,Creator_Video_List_20250826-20250922_20250923185803 (1).xlsx,Sheet 1
Estoy en estos momentos entrenado y OMG!!!! 🔥 #oxyshred #preworkout #ehplabs ,2025-09-17,janessgg,1,11,5,5,37.58,187.88,187.88,8.93,--,0.18,0,0.0,3011,2.31%,59.42,Creator_Video_List_20250826-20250922_20250923185812 (1).xlsx,Sheet 1
No olvides que debes tomarlos diarios! #oxygreens #ehplabs #guthealth ,2025-09-17,janessgg,1,11,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,1402,2.13%,0.0,Creator_Video_List_20250826-20250922_20250923185812 (1).xlsx,Sheet 1
Energía full!!! 🔥 #ehplabs #preworkout #oxyshred ,2025-09-18,janessgg,1,14,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,4157,3.20%,0.0,Creator_Video_List_20250826-20250922_20250923185812 (1).xlsx,Sheet 1
#oxyshred #preworkout #ehplabs ,2025-09-22,janessgg,2,9,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,821,2.10%,0.0,Creator_Video_List_20250826-20250922_20250923185812 (1).xlsx,Sheet 1
Respuesta a @Beatles Now and then ,2025-09-22,janessgg,0,0,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,224,1.83%,0.0,Creator_Video_List_20250826-20250922_20250923185812 (1).xlsx,Sheet 1
"they work just like the powder form to heat your body for added burn (get ready to sweat) give you so much energy to get the workout in, helps w focus (get ready to be locked in), mood, all the goodies so I wanna thank these cute little 🧸 for this pump #oxyshred #oxyshredgummies #ehplabs ",2025-09-22,ekndra,2,44,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,539,1.73%,0.0,Creator_Video_List_20250826-20250922_20250923185818 (1).xlsx,Sheet 1
ready to lock in for the next couple months 😈🔥?!?!?!?!? my absolute favorite preworkout AND bbgrl is on sale rn #oxyshred #ehplabs #toktokshopcreatorpicks ,2025-09-20,ekndra,0,151,1,1,28.87,28.87,28.87,6.79,--,0.04,0,0.0,8945,1.50%,2.99,Creator_Video_List_20250826-20250922_20250923185818 (1).xlsx,Sheet 1
this is a crazyyy lineup of f🔥🔥t burners 😭😭😭😭 major transformation soon come #oxyshred #preworkout #ehplabs ,2025-09-22,ekndra,0,4,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,110,0.00%,0.0,Creator_Video_List_20250826-20250922_20250923185818 (1).xlsx,Sheet 1
@ehplabs super greens with protein is so delicious #oxyshredgreens #ehplabs #sale ,2025-09-22,lupitatong,1,6,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,271,1.04%,0.0,Creator_Video_List_20250916-20250922_20250923185758 (1).xlsx,Sheet 1
Trying the new @ehplabs juicy strawberry 🍓 pre workout gummies and I am obsessed. They are not chalky but they are definitely JUICY #ehplabs #OXYSHRED #newarrivalsurge #preworkout ,2025-09-22,lupitatong,4,11,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,310,1.52%,0.0,Creator_Video_List_20250916-20250922_20250923185758 (1).xlsx,Sheet 1
My favorite 🏋🏼‍♀️ loss drink.. keeps me full longer and I’m getting my daily veggies and fruits intake. #ehplabsoxygreens #supergreens ,2025-09-22,lupitatong,2,9,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,208,0.43%,0.0,Creator_Video_List_20250916-20250922_20250923185758 (1).xlsx,Sheet 1
Oxyshred #oxyshred #tiktokshopcreatorpicks ,2025-09-16,glowwdani,3,66,33,34,30.69,840.04,1012.75,61.47,--,4.71,1,32.58,82893,1.33%,11.48,Creator_Video_List_20250916-20250922_20250923185809 (1).xlsx,Sheet 1
Oxygreens super greens #tiktokshopcreatorpicks #oxygreens #oxyshred #supergreens #ehplabs ,2025-09-18,glowwdani,2,104,3,5,44.18,96.96,132.55,25.62,--,0.43,0,0.0,9934,1.02%,12.14,Creator_Video_List_20250916-20250922_20250923185809 (1).xlsx,Sheet 1
Oxygreens super greens #oxygreens #greenspowder #supergreens ,2025-09-16,glowwdani,0,4,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,710,0.66%,0.0,Creator_Video_List_20250916-20250922_20250923185809 (1).xlsx,Sheet 1
Oxyshred #oxyshred #preworkout #ehplabs #tiktokshoprestock ,2025-09-17,glowwdani,1,4,0,0,--,0.0,0.0,0.0,--,0.0,0,0.0,1359,0.83%,0.0,Creator_Video_List_20250916-20250922_20250923185809 (1).xlsx,Sheet 1
